grid_index,start_frame,end_frame,mae,snr_db
0,0,300,8.95718765258789,-0.4404915444806942
1,150,450,8.868587493896484,-0.34292196965406113
2,300,600,8.745551109313965,-0.2715544908359301
3,450,627,8.53039264678955,-0.3562415243202086
4,600,627,7.259876728057861,0.5058689794919081
